CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
48,EC605AEO,MICROECONOMÍA II,,4,OEFE,EC600,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PAULLO-TISOC-ROCIO,LU,[09-11],T,,EC-204,2,
,,PAULLO-TISOC-ROCIO,MI,[09-11],P,,EC-204,2,
,,PAULLO-TISOC-ROCIO,VI,[09-10],T,,EC-204,1,
49,EC605BEO,MICROECONOMÍA II,,4,OEFE,EC600,4,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MARTINEZ-BACA-ARMANDO,LU,[16-18],T,,EC-204,2,
,,MARTINEZ-BACA-ARMANDO,MI,[16-18],P,,EC-204,2,
,,MARTINEZ-BACA-ARMANDO,VI,[16-17],T,,EC-204,1,
50,EC610AEO,ANALISIS E INVESTIGACION DE MERCADOS,,3,OEFE,EC605,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,ARAOZ-CUBA-LUIS,MA,[11-13],T,,EC-205,2,
,,ARAOZ-CUBA-LUIS,VI,[11-13],P,,EC-205,2,
51,EC610BEO,ANALISIS E INVESTIGACION DE MERCADOS,,3,OEFE,EC605,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,SUAREZ-SANCHEZ-INGRID,MA,[18-20],T,,EC-205,2,
,,SUAREZ-SANCHEZ-INGRID,JU,[18-20],P,,EC-205,2,
52,EC608AEO,ECONOMETRIA II,,3,OEFE,EC603,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,ESTRADA-CUNO-WILBERT,LU,[07-09],T,,LAB-1,2,
,,ESTRADA-CUNO-WILBERT,MI,[07-09],P,,LAB-1,2,
53,EC608BEO,ECONOMETRIA II,,3,OEFE,EC603,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,SALAS-PEÑA-CARLOS,MA,[14-16],T,,LAB-1,2,
,,SALAS-PEÑA-CARLOS,JU,[14-16],P,,LAB-1,2,
54,EC612AEO,ECONOMIA INTERNACIONAL,,4,OEFE,EC606,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
